Bullying_Severity_Index,Sex,Age_Group,n_students,mean_loneliness,mean_missed_days,mean_social_support
0.0,Female,<=13,3241,1.122,0.536,0.144
0.0,Female,14-15,6981,1.327,0.726,0.08
0.0,Female,16-17,5409,1.475,1.001,0.012
0.0,Female,18+,101,1.51,0.96,-0.098
0.0,Male,<=13,3138,0.655,0.691,0.132
0.0,Male,14-15,7727,0.783,0.857,0.115
0.0,Male,16-17,6080,0.958,1.255,0.08
0.0,Male,18+,129,0.984,2.381,0.197
1.0,Female,<=13,1308,1.642,0.795,-0.058
1.0,Female,14-15,3045,1.889,0.982,-0.094
1.0,Female,16-17,2399,1.897,1.34,-0.121
1.0,Female,18+,38,2.189,1.5,-0.248
1.0,Male,<=13,1020,1.045,0.999,-0.005
1.0,Male,14-15,2519,1.215,1.157,-0.022
1.0,Male,16-17,1897,1.323,1.46,-0.026
1.0,Male,18+,40,1.8,3.2,-0.018
2.0,Female,<=13,618,2.067,0.737,-0.133
2.0,Female,14-15,1712,2.136,1.228,-0.179
2.0,Female,16-17,1384,2.222,1.637,-0.268
2.0,Female,18+,23,2.13,1.909,-0.313
2.0,Male,<=13,422,1.34,0.832,-0.05
2.0,Male,14-15,1101,1.47,1.287,-0.069
2.0,Male,16-17,848,1.676,1.706,-0.123
2.0,Male,18+,16,1.75,1.469,-0.311
3.0,Female,<=13,373,2.17,0.921,-0.217
3.0,Female,14-15,1069,2.345,1.353,-0.241
3.0,Female,16-17,813,2.299,1.752,-0.283
3.0,Female,18+,7,2.429,1.857,-0.184
3.0,Male,<=13,223,1.329,0.962,-0.031
3.0,Male,14-15,555,1.5,1.504,-0.203
3.0,Male,16-17,468,1.569,1.569,-0.19
3.0,Male,18+,8,2.25,1.312,-0.363
